incident_id,decision_id,evidence_id,candidate_name,decision_value,reliability,feasibility,cost,time,expected_rank,rationale
INC-FISH-001,DEC-FISH-001,EV-005,Independent field dissolved oxygen measurement,0.95,0.90,0.90,0.20,0.15,1,"Directly verifies the low dissolved oxygen hypothesis with high decision impact, strong reliability, high feasibility, low acquisition burden, and fast turnaround."
INC-FISH-001,DEC-FISH-001,EV-006,Laboratory water chemistry testing,0.85,0.95,0.55,0.65,0.70,2,"Provides strong evidence for pollution or runoff explanations but requires greater time, cost, and operational effort."
INC-FISH-001,DEC-FISH-001,EV-007,Additional citizen verification,0.45,0.60,0.85,0.10,0.10,3,"Efficiently corroborates the spatial extent of the incident but is less likely to resolve the main causal hypotheses."

INC-FISH-002,DEC-FISH-002,EV-008,Immediate field dissolved oxygen measurement,0.92,0.88,0.95,0.15,0.10,1,"Directly tests the suspected oxygen depletion mechanism and provides rapid evidence for an immediate decision."
INC-FISH-002,DEC-FISH-002,EV-009,Full laboratory water panel,0.90,0.98,0.50,0.75,0.80,2,"Provides highly reliable evidence but has substantially greater cost and turnaround time."
INC-FISH-002,DEC-FISH-002,EV-010,Additional public observations,0.40,0.55,0.90,0.05,0.05,3,"Can confirm the incident extent efficiently but has limited value for resolving the primary water-quality hypothesis."

INC-BLOOM-001,DEC-BLOOM-001,EV-011,Field chlorophyll and water-quality measurement,0.94,0.90,0.85,0.25,0.20,1,"Directly measures the suspected bloom conditions and can materially change the operational assessment."
INC-BLOOM-001,DEC-BLOOM-001,EV-012,Satellite imagery review,0.78,0.82,0.95,0.10,0.15,2,"Provides broad spatial coverage quickly but is less direct than field measurements."
INC-BLOOM-001,DEC-BLOOM-001,EV-013,Additional citizen photographs,0.45,0.55,0.90,0.05,0.10,3,"Provides useful corroboration but limited quantitative evidence about bloom severity."

INC-WATER-001,DEC-WATER-001,EV-014,Accredited laboratory contamination analysis,0.96,0.98,0.65,0.55,0.65,1,"Provides highly reliable evidence for a contamination decision despite moderate acquisition burden."
INC-WATER-001,DEC-WATER-001,EV-015,Field conductivity and turbidity measurement,0.82,0.82,0.90,0.20,0.20,2,"Offers rapid and practical evidence but is less definitive for identifying the contaminant."
INC-WATER-001,DEC-WATER-001,EV-016,Additional citizen reports,0.35,0.50,0.85,0.05,0.10,3,"Can increase situational awareness but has limited ability to establish contamination."

INC-RAIN-001,DEC-RAIN-001,EV-017,Immediate field water-quality measurement,0.94,0.88,0.90,0.20,0.10,1,"Rapidly tests the runoff-related hypothesis while the event remains temporally relevant."
INC-RAIN-001,DEC-RAIN-001,EV-018,Rainfall and runoff laboratory analysis,0.86,0.96,0.60,0.60,0.75,2,"Provides strong causal evidence but has slower turnaround and higher acquisition burden."
INC-RAIN-001,DEC-RAIN-001,EV-019,Historical rainfall data review,0.55,0.85,0.98,0.05,0.05,3,"Provides useful contextual evidence but cannot directly verify current water conditions."

INC-TEMP-001,DEC-TEMP-001,EV-020,Continuous field temperature measurement,0.91,0.90,0.92,0.15,0.10,1,"Directly measures the suspected temperature anomaly with strong reliability and rapid availability."
INC-TEMP-001,DEC-TEMP-001,EV-021,Satellite temperature estimation,0.75,0.78,0.95,0.10,0.20,2,"Provides broad coverage with low operational burden but is less direct than field measurements."
INC-TEMP-001,DEC-TEMP-001,EV-022,Historical temperature comparison,0.50,0.88,0.98,0.05,0.05,3,"Provides useful baseline context but limited direct evidence about the current anomaly."

INC-SAT-001,DEC-SAT-001,EV-023,Targeted field verification of satellite anomaly,0.93,0.92,0.80,0.25,0.20,1,"Directly verifies whether the detected remote-sensing anomaly corresponds to an observed environmental condition."
INC-SAT-001,DEC-SAT-001,EV-024,Second satellite observation,0.72,0.80,0.95,0.08,0.20,2,"Provides independent remote confirmation but may not resolve the anomaly's physical cause."
INC-SAT-001,DEC-SAT-001,EV-025,Additional citizen observation,0.48,0.55,0.88,0.05,0.10,3,"Can provide local corroboration but has lower reliability and limited causal resolution."

INC-SENSOR-001,DEC-SENSOR-001,EV-026,Independent field sensor verification,0.95,0.94,0.85,0.20,0.15,1,"Directly verifies whether the sensor anomaly reflects a real environmental change."
INC-SENSOR-001,DEC-SENSOR-001,EV-027,Cross-check with nearby sensor,0.78,0.86,0.90,0.12,0.15,2,"Provides useful independent corroboration with moderate operational effort."
INC-SENSOR-001,DEC-SENSOR-001,EV-028,Historical sensor trend analysis,0.55,0.90,0.98,0.05,0.05,3,"Provides strong contextual information but cannot independently verify the current anomaly."

INC-CITIZEN-001,DEC-CITIZEN-001,EV-029,Targeted field verification,0.90,0.90,0.82,0.25,0.20,1,"Converts citizen-reported observations into independently verifiable environmental evidence."
INC-CITIZEN-001,DEC-CITIZEN-001,EV-030,Independent citizen corroboration,0.65,0.60,0.95,0.05,0.10,2,"Efficiently checks whether the reported observation is spatially reproducible."
INC-CITIZEN-001,DEC-CITIZEN-001,EV-031,Historical incident comparison,0.45,0.80,0.98,0.05,0.05,3,"Provides contextual evidence but limited information about the current event."

INC-UNKNOWN-001,DEC-UNKNOWN-001,EV-032,Multi-parameter field assessment,0.96,0.88,0.78,0.35,0.25,1,"Provides broad evidence across competing hypotheses and has high expected value for reducing uncertainty."
INC-UNKNOWN-001,DEC-UNKNOWN-001,EV-033,Targeted laboratory analysis,0.88,0.96,0.55,0.65,0.70,2,"Provides highly reliable evidence but is slower and more resource intensive."
INC-UNKNOWN-001,DEC-UNKNOWN-001,EV-034,Additional citizen observations,0.42,0.55,0.90,0.05,0.10,3,"Provides low-cost contextual information but limited ability to distinguish competing causes."
